filename,label,prediction,wo_prediction,correct,image_url,categories1,categories2,categories3,categories4,question_text
969.png,cat,cat the image is of a cat because it has a long tail pointy ears and whiskers.,cat,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/969.png,Good,Somewhat Good,Somewhat Bad,Bad,How good is this generated explanation for the image?
969.png,cat,cat,cat,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/969.png,Yes,No,<empty> do not select.,<empty> do not select.,Was this image classified correctly?
293.png,airplane,airplane the image is of an airplane because it has wings and a propeller.,airplane,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/293.png,Good,Somewhat Good,Somewhat Bad,Bad,How good is this generated explanation for the image?
293.png,airplane,airplane,airplane,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/293.png,Yes,No,<empty> do not select.,<empty> do not select.,Was this image classified correctly?
82.png,deer,deer the image is of a deer because it has antlers and is in a grassy field.,deer,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/82.png,Good,Somewhat Good,Somewhat Bad,Bad,How good is this generated explanation for the image?
82.png,deer,deer,deer,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/82.png,Yes,No,<empty> do not select.,<empty> do not select.,Was this image classified correctly?
452.png,frog,turtle the image is of a turtle because it has a hard shell and is on the ground.,turtle,0,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/452.png,Good,Somewhat Good,Somewhat Bad,Bad,How good is this generated explanation for the image?
452.png,frog,turtle,turtle,0,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/452.png,Yes,No,<empty> do not select.,<empty> do not select.,Was this image classified correctly?
650.png,airplane,airplane the image is of an airplane because it is a vehicle that flies in the sky.,airplane,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/650.png,Good,Somewhat Good,Somewhat Bad,Bad,How good is this generated explanation for the image?
650.png,airplane,airplane,airplane,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/650.png,Yes,No,<empty> do not select.,<empty> do not select.,Was this image classified correctly?
939.png,deer,frog the image is of a frog because it has a long thin body and bulging eyes.,frog,0,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/939.png,Good,Somewhat Good,Somewhat Bad,Bad,How good is this generated explanation for the image?
939.png,deer,frog,frog,0,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/939.png,Yes,No,<empty> do not select.,<empty> do not select.,Was this image classified correctly?
115.png,airplane,airplane the image is of a small airplane because it has wings a propeller and is in the,airplane,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/115.png,Good,Somewhat Good,Somewhat Bad,Bad,How good is this generated explanation for the image?
115.png,airplane,airplane,airplane,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/115.png,Yes,No,<empty> do not select.,<empty> do not select.,Was this image classified correctly?
422.png,horse,horse the image is of a horse because it has four legs and a long neck.,horse,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/422.png,Good,Somewhat Good,Somewhat Bad,Bad,How good is this generated explanation for the image?
422.png,horse,horse,horse,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/422.png,Yes,No,<empty> do not select.,<empty> do not select.,Was this image classified correctly?
109.png,truck,truck the image is of a large vehicle that is used for transporting goods and materials.,truck,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/109.png,Good,Somewhat Good,Somewhat Bad,Bad,How good is this generated explanation for the image?
109.png,truck,truck,truck,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/109.png,Yes,No,<empty> do not select.,<empty> do not select.,Was this image classified correctly?
909.png,ship,boat the image is of a boat because it is a watercraft that floats on water and is powered by sails or an engine.,boat,0,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/909.png,Good,Somewhat Good,Somewhat Bad,Bad,How good is this generated explanation for the image?
909.png,ship,boat,boat,0,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/909.png,Yes,No,<empty> do not select.,<empty> do not select.,Was this image classified correctly?
645.png,frog,frog the image is of a frog because it has long legs and a long tail.,frog,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/645.png,Good,Somewhat Good,Somewhat Bad,Bad,How good is this generated explanation for the image?
645.png,frog,frog,frog,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/645.png,Yes,No,<empty> do not select.,<empty> do not select.,Was this image classified correctly?
676.png,automobile,automobile the image is of a car because it has four wheels and a windshield.,automobile,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/676.png,Good,Somewhat Good,Somewhat Bad,Bad,How good is this generated explanation for the image?
676.png,automobile,automobile,automobile,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/676.png,Yes,No,<empty> do not select.,<empty> do not select.,Was this image classified correctly?
213.png,airplane,airplane the image is of an airplane because it has wings and a propeller and is flying in the,airplane,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/213.png,Good,Somewhat Good,Somewhat Bad,Bad,How good is this generated explanation for the image?
213.png,airplane,airplane,airplane,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/213.png,Yes,No,<empty> do not select.,<empty> do not select.,Was this image classified correctly?
404.png,airplane,airplane the image is of an airplane because it is a flying machine with wings and a propeller.,airplane,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/404.png,Good,Somewhat Good,Somewhat Bad,Bad,How good is this generated explanation for the image?
404.png,airplane,airplane,airplane,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/404.png,Yes,No,<empty> do not select.,<empty> do not select.,Was this image classified correctly?
45.png,automobile,automobile the image is of a car because it has four wheels and is parked.,automobile,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/45.png,Good,Somewhat Good,Somewhat Bad,Bad,How good is this generated explanation for the image?
45.png,automobile,automobile,automobile,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/45.png,Yes,No,<empty> do not select.,<empty> do not select.,Was this image classified correctly?
935.png,frog,frog the image is of a frog because it has a long slender body bulging eyes and,frog,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/935.png,Good,Somewhat Good,Somewhat Bad,Bad,How good is this generated explanation for the image?
935.png,frog,frog,frog,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/935.png,Yes,No,<empty> do not select.,<empty> do not select.,Was this image classified correctly?
253.png,cat,cat the image is of a cat because it has a long tail pointy ears and is sitting on a sink.,cat,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/253.png,Good,Somewhat Good,Somewhat Bad,Bad,How good is this generated explanation for the image?
253.png,cat,cat,cat,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/253.png,Yes,No,<empty> do not select.,<empty> do not select.,Was this image classified correctly?
313.png,frog,frog the image is of a frog because it has a long slender body long legs and a wide mouth,frog,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/313.png,Good,Somewhat Good,Somewhat Bad,Bad,How good is this generated explanation for the image?
313.png,frog,frog,frog,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/313.png,Yes,No,<empty> do not select.,<empty> do not select.,Was this image classified correctly?
310.png,deer,deer the image is of a deer because it has antlers and is standing in a grassy area.,deer,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/310.png,Good,Somewhat Good,Somewhat Bad,Bad,How good is this generated explanation for the image?
310.png,deer,deer,deer,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/310.png,Yes,No,<empty> do not select.,<empty> do not select.,Was this image classified correctly?
822.png,airplane,airplane the image is of an airplane because it has wings and a propeller.,airplane,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/822.png,Good,Somewhat Good,Somewhat Bad,Bad,How good is this generated explanation for the image?
822.png,airplane,airplane,airplane,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/822.png,Yes,No,<empty> do not select.,<empty> do not select.,Was this image classified correctly?
959.png,deer,bird the image is of a bird because it is a small animal with wings and a beak.,bird,0,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/959.png,Good,Somewhat Good,Somewhat Bad,Bad,How good is this generated explanation for the image?
959.png,deer,bird,bird,0,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/959.png,Yes,No,<empty> do not select.,<empty> do not select.,Was this image classified correctly?
131.png,horse,horse the image is of a horse because it has four legs and is standing on the ground.,horse,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/131.png,Good,Somewhat Good,Somewhat Bad,Bad,How good is this generated explanation for the image?
131.png,horse,horse,horse,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/131.png,Yes,No,<empty> do not select.,<empty> do not select.,Was this image classified correctly?
174.png,cat,cat the image is of a cat because it has a long tail pointy ears and whiskers.,cat,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/174.png,Good,Somewhat Good,Somewhat Bad,Bad,How good is this generated explanation for the image?
174.png,cat,cat,cat,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/174.png,Yes,No,<empty> do not select.,<empty> do not select.,Was this image classified correctly?
390.png,deer,deer the image is of a deer because it has antlers and is standing in a field.,deer,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/390.png,Good,Somewhat Good,Somewhat Bad,Bad,How good is this generated explanation for the image?
390.png,deer,deer,deer,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/390.png,Yes,No,<empty> do not select.,<empty> do not select.,Was this image classified correctly?
36.png,cat,cat the image is of a cat because it has a long tail pointy ears and is small in size.,cat,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/36.png,Good,Somewhat Good,Somewhat Bad,Bad,How good is this generated explanation for the image?
36.png,cat,cat,cat,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/36.png,Yes,No,<empty> do not select.,<empty> do not select.,Was this image classified correctly?
